Eastern Id,Gender,East/West/Out,VSAT,MSAT,WSAT,Athletics,Housing,FGEN,HsQuintile,HSGPA,Stem,ERG,GotSchol,ERG,Retained,1st_yr_GPA
10221446,M,west,560,550,490,0,1,0,Q4,2.3,1,A,0,A,N,2.66
10224352,M,west,540,420,460,0,1,0,Q4,2.5,0,H,0,H,Y,2.39
10224975,F,east,570,520,560,0,1,1,Q1,3.5,0,H,1,H,Y,2.91
10224978,F,west,,,,0,1,0,Q2,3,0,F,0,F,Y,3.36
10225115,M,east,640,660,560,0,1,0,Q1,2.9,1,H,1,H,Y,3.69
10226838,F,east,600,570,580,0,0,0,Q1,4,0,I,1,I,Y,2.49
10227029,M,east,,,,0,0,0,Q3,3.1,0,E,0,E,N,0
10227333,M,east,520,640,490,1,0,0,Q1,3.5,0,I,0,I,Y,3.64
10227674,F,east,,,,1,1,1,Q2,3.2,0,H,1,H,Y,3.44
10227686,F,east,450,490,440,0,0,0,Q3,3,0,C,1,C,Y,3.2
10227893,M,west,440,420,430,0,1,0,Q3,2.8,0,B,0,B,Y,2.5
10227904,M,west,530,680,530,0,1,1,Q2,3.6,0,B,1,B,Y,3.11
10228275,M,west,,,,0,1,0,Q3,2.7,1,B,0,B,Y,1.8
10228488,F,east,370,390,440,0,0,1,Q3,2.6,0,H,0,H,Y,2.32
10228599,M,west,,,470,0,1,1,Q3,2.7,1,I,0,I,Y,2.98
10228675,M,east,520,530,560,0,0,0,Q3,3.2,0,F,1,F,Y,3.75
10228775,F,east,440,480,490,0,1,1,Q1,3.8,0,H,1,H,Y,3.65
10229629,F,east ,530,610,500,0,0,1,Q3,3.1,0,C,1,C,Y,3.65
10229646,F,east,430,480,440,0,1,1,Q3,2.7,0,C,0,C,N,2.71
10229648,F,east,650,660,610,0,0,0,Q1,3.7,1,C,1,C,Y,3.8
10229721,F,east,600,550,550,0,1,0,Q3,3.2,0,C,1,C,Y,2.98
10229869,F,east,570,440,470,0,1,1,Q1,3.6,0,H,1,H,Y,3.52
10230141,M,west,620,570,650,1,1,0,Q3,3.4,0,D,1,D,Y,3.74
10230217,F,east,440,560,450,0,1,0,Q3,3.2,0,F,1,F,Y,2.66
10230418,M,west,490,440,530,0,1,1,,,0,B,1,B,Y,2.96
10231176,M,east,580,640,520,0,0,1,Q2,3.3,1,D,0,D,Y,0.37
10231268,F,east ,550,490,540,0,1,0,Q4,2.6,0,C,0,C,Y,2.6
10231649,M,east,540,480,380,0,1,1,Q5,2.2,0,I,0,I,Y,2.38
10231655,F,west,490,420,500,1,1,0,Q1,3.8,0,D,1,D,Y,3.21
10231755,F,west,,,,0,1,0,Q1,4,1,B,1,B,N,3.94
10231878,F,west,550,530,550,0,1,0,Q1,3.3,0,I,1,I,N,3.9
10231901,F,west,,,,0,1,1,Q3,3,0,I,0,I,N,3.28
10231946,F,west,520,530,530,0,1,1,Q1,3.8,0,B,1,B,N,3.66
10231955,F,west,480,470,480,0,1,1,Q3,3.6,0,D,0,D,Y,2.95
10232019,F,west,410,410,450,0,1,1,Q2,3.5,1,D,1,D,N,2.44
